BRIN,financieel,overig
19NZ,Basistoezicht,Basistoezicht
19NW,Basistoezicht,Basistoezicht
19NT,Basistoezicht,Basistoezicht
19NQ,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
19NN,Basistoezicht,Basistoezicht
19MZ,Basistoezicht,Basistoezicht
19MU,Basistoezicht,Basistoezicht
19MP,Basistoezicht,Basistoezicht
19MH,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
19LY,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
19LY,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
19LI,Basistoezicht,Basistoezicht
18PQ,Basistoezicht,Basistoezicht
18AR,Basistoezicht,Basistoezicht
17PY,Basistoezicht,Basistoezicht
17PJ,Basistoezicht,Basistoezicht
17NQ,Basistoezicht,Basistoezicht
17NF,Basistoezicht,Basistoezicht
17MR,Basistoezicht,Basistoezicht
17MC,Basistoezicht,Basistoezicht
17JE,Basistoezicht,Basistoezicht
17FV,Basistoezicht,Basistoezicht
17FN,Basistoezicht,Basistoezicht
17FE,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
17EU,Basistoezicht,Basistoezicht
17EK,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
17EK,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
15SK,Basistoezicht,Basistoezicht
15QA,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
15IF,Basistoezicht,Basistoezicht
14YM,Basistoezicht,Basistoezicht
14MS,Basistoezicht,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
14EW,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
13ZO,Basistoezicht,Basistoezicht
13XH,Basistoezicht,Basistoezicht
13WC,Basistoezicht,Basistoezicht
13OK,Basistoezicht,Basistoezicht
13LE,Basistoezicht,Basistoezicht
13JH,Basistoezicht,Basistoezicht
13HC,Basistoezicht,Basistoezicht
13AK,Basistoezicht,Basistoezicht
12VO,Basistoezicht,Basistoezicht
12UE,Basistoezicht,Basistoezicht
12NN,Basistoezicht,Basistoezicht
09NL,Basistoezicht,Basistoezicht
15KN,Basistoezicht,Basistoezicht
15HT,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
15EJ,Basistoezicht,Basistoezicht
14XU,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
14GW,Basistoezicht,Basistoezicht
14EC,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
14AZ,Basistoezicht,Basistoezicht
13XQ,Basistoezicht,Basistoezicht
13LM,Basistoezicht,Basistoezicht,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
13GL,Basistoezicht,Basistoezicht
27RM,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
13RI,Basistoezicht,Basistoezicht
13MP,Basistoezicht,Basistoezicht
13BY,Basistoezicht,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
